question_id,run_number,attempt,response_from_llm,response_score,llm_response_id
TT4G35A,1,1,Dakord,3,resp_09b24805881e6e90006973ca970fdc8196b5d02adad42a7adc
TT4G35B,1,1,Plotësisht dakord,4,resp_08dc952e2aefe305006973ca98013c819ebb1d114909d0e352
TT4G35C,1,1,Dakord,3,resp_00d2ffc6830010ac006973ca994c28819e941db88df9cb714d
TT4G35D,1,1,Dakord,3,resp_0e5f5805d6749f13006973ca9b62e4819ebbda2e342c7e7fa3
TT4G35E,1,1,Dakord,3,resp_0577d27f8d22cb5b006973ca9c2b748190a4d89f43d0f4dd49
TT4G35F,1,1,Dakord,3,resp_077cdd68ec1baff5006973ca9d91ac81928243a3ded73cea6b
TT4G35G,1,1,Dakord,3,resp_01d2ad5eafc6656f006973ca9ee08081939a3ea87e1481f548
TT4G35H,1,1,Dakord,3,resp_080e5379708cd9bd006973ca9fbb0081a2a4db835e17572203
TT4G35I,1,1,Dakord,3,resp_0e2168bed111ac61006973caa0bd40819ea0c8f4027580f76f
TT4G35J,1,1,Nuk e di,0,resp_0652b061e4a9ffae006973caa1d124819e95c5ad5a14795a06
TT4G35A,2,1,Dakord,3,resp_099e8e9c040c69a5006973caa2cd3081939dfc4e22a34dc9f8
TT4G35B,2,1,Plotësisht dakord,4,resp_0cdcbb7e2d1ac3ad006973caa3d5ec81a18d1b0f0ae3fbd209
TT4G35C,2,1,Plotësisht dakord,4,resp_0e6948370ad14371006973caa531c48196a3baceae52932f7c
TT4G35D,2,1,Dakord,3,resp_0bbc1cee43e93b67006973caa62068819d8b46b6a55ba989bb
TT4G35E,2,1,Plotësisht dakord,4,resp_07ee01c0b168eb81006973caa786b08191bb8e3b4814b057d9
TT4G35F,2,1,Dakord,3,resp_0b1260250e52ca28006973caa84efc81a28daa6e06a8e63e8d
TT4G35G,2,1,Dakord,3,resp_06d661b38605b882006973caaa07b081909ccb2fd445d4d526
TT4G35H,2,1,Nuk jam dakord,2,resp_0241970f2866bc49006973caaaec948193b1c1a741ab424b88
TT4G35I,2,1,Plotësisht dakord,4,resp_0be6e12271ba1e12006973caac1f888196820b65e264209cc7
TT4G35J,2,1,Nuk jam dakord,2,resp_0fe0fce693d67d78006973caad113081909fa1ec0b5f1974f9
